Player: 刘昌赫, Date: 1996-09-22, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 张文东
Player: 刘昌赫, Date: 1996-09-16, Rating: 3412, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 刘昌赫, Date: 1996-09-02, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 曹大元
Player: 刘昌赫, Date: 1996-08-31, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 刘昌赫, Date: 1996-08-12, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 刘昌赫, Date: 1996-08-10, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 刘昌赫, Date: 1996-07-12, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1996-07-03, Rating: 3409, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1996-06-27, Rating: 3408, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 刘昌赫, Date: 1996-06-25, Rating: 3408, Black and White: 执白, Result: 胜, Opponent: 刘小光
Player: 刘昌赫, Date: 1996-06-21, Rating: 3408, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1996-06-17, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 李洪烈
Player: 刘昌赫, Date: 1996-06-14, Rating: 3407, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1996-06-07, Rating: 3407, Black and White: 执白, Result: 胜, Opponent: 李昌镐
