Player: 林海峰, Date: 1985-05-15, Rating: 3310, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 林海峰, Date: 1985-05-09, Rating: 3310, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 林海峰, Date: 1985-04-25, Rating: 3312, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 林海峰, Date: 1985-04-11, Rating: 3313, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 林海峰, Date: 1985-04-04, Rating: 3313, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 林海峰, Date: 1985-03-28, Rating: 3314, Black and White: 执黑, Result: 胜, Opponent: 彦坂直人
Player: 林海峰, Date: 1985-03-10, Rating: 3315, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1985-03-07, Rating: 3315, Black and White: 执黑, Result: 负, Opponent: 石田章
Player: 林海峰, Date: 1985-02-24, Rating: 3315, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 林海峰, Date: 1985-02-16, Rating: 3316, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 林海峰, Date: 1985-02-14, Rating: 3316, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 林海峰, Date: 1985-02-10, Rating: 3316, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 林海峰, Date: 1985-02-10, Rating: 3316, Black and White: 执白, Result: 胜, Opponent: 苑田勇一
Player: 林海峰, Date: 1985-02-07, Rating: 3316, Black and White: 执白, Result: 胜, Opponent: 高木祥一
Player: 林海峰, Date: 1985-01-24, Rating: 3316, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 大竹英雄, Date: 1985-12-19, Rating: 3285, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 大竹英雄, Date: 1985-12-17, Rating: 3285, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 大竹英雄, Date: 1985-10-03, Rating: 3289, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 大竹英雄, Date: 1985-09-19, Rating: 3290, Black and White: 执黑, Result: 负, Opponent: 赵治勋
Player: 大竹英雄, Date: 1985-09-05, Rating: 3291, Black and White: 执白, Result: 负, Opponent: 羽根泰正
Player: 大竹英雄, Date: 1985-08-29, Rating: 3292, Black and White: 执黑, Result: 胜, Opponent: 大平修三
Player: 大竹英雄, Date: 1985-08-24, Rating: 3293, Black and White: 执白, Result: 负, Opponent: 小林觉
Player: 大竹英雄, Date: 1985-08-15, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 大竹英雄, Date: 1985-08-07, Rating: 3294, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 大竹英雄, Date: 1985-07-31, Rating: 3295, Black and White: 执白, Result: 负, Opponent: 工藤纪夫
Player: 大竹英雄, Date: 1985-07-17, Rating: 3297, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 大竹英雄, Date: 1985-07-11, Rating: 3297, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 大竹英雄, Date: 1985-07-04, Rating: 3298, Black and White: 执白, Result: 胜, Opponent: 工藤纪夫
Player: 大竹英雄, Date: 1985-06-27, Rating: 3299, Black and White: 执白, Result: 胜, Opponent: 黄孟正
Player: 大竹英雄, Date: 1985-06-13, Rating: 3300, Black and White: 执黑, Result: 负, Opponent: 小林光一
Player: 大竹英雄, Date: 1985-05-30, Rating: 3301, Black and White: 执白, Result: 胜, Opponent: 久保胜昭
